"","CTYNAME","Year","Whitepct","Blackpct","AIpct","Asianpct","Hawaiianpct","Twopct","Hispanicpct"
"64","Winn Parish, Louisiana","cen42010",0.660549859596421,0.305100241624763,0.00626918304708418,0.00254685561287795,0.000130607980147587,0.00973029452099523,0.0156729576177104
"65","Acadia Parish, Louisiana","est72018",0.772680495256472,0.179257115291848,0.00328027013989387,0.00305515356166586,0.000176877311464866,0.014278822961891,0.0272712654767648
"66","Allen Parish, Louisiana","est72018",0.709705135715681,0.223159539152509,0.0209334114430775,0.00613161491896114,0.000117164616285882,0.0174184729545011,0.0225346611989846
"67","Ascension Parish, Louisiana","est72018",0.68142806724846,0.232353696098563,0.00331269250513347,0.0130502438398357,0.000553452258726899,0.0118711498973306,0.0574306981519507
"68","Assumption Parish, Louisiana","est72018",0.654484304932735,0.293811659192825,0.0062780269058296,0.00349775784753363,0.000448430493273543,0.0100448430493274,0.0314349775784753
"69","Avoyelles Parish, Louisiana","est72018",0.649819583807029,0.295561267361969,0.0105778261084474,0.00637635312144728,0.000148287281894123,0.0176461865454006,0.0198704957738125
"70","Beauregard Parish, Louisiana","est72018",0.802136740665181,0.12015139720291,0.0102273642391217,0.00633506026360293,0.000805304270796983,0.0221727109226103,0.038171422435777
"71","Bienville Parish, Louisiana","est72018",0.545536519386835,0.414712954613766,0.00375713856327021,0.00323113916441238,0,0.0133002705139766,0.0194619777577397
"72","Bossier Parish, Louisiana","est72018",0.662365845028895,0.224609820340449,0.00423005857608995,0.0179345048551323,0.00110862129968157,0.0220938003695404,0.0676573495302119
"73","Caddo Parish, Louisiana","est72018",0.445587472522044,0.493952791430994,0.00397246852899285,0.0123866920246005,0.000465169889923515,0.0147989889758853,0.0288364166275595
"74","Calcasieu Parish, Louisiana","est72018",0.671713143487337,0.253722084367246,0.00482000078774272,0.0131553034778841,0.000457875457875458,0.0183888691953208,0.0377427232265942
"75","Caldwell Parish, Louisiana","est72018",0.791566265060241,0.158132530120482,0.00321285140562249,0.0036144578313253,0.000100401606425703,0.0115461847389558,0.0318273092369478
"76","Cameron Parish, Louisiana","est72018",0.894374282433984,0.0398966704936854,0.00746268656716418,0.00258323765786452,0.000143513203214696,0.0129161882893226,0.0426234213547646
"77","Catahoula Parish, Louisiana","est72018",0.66184429641965,0.305058284762698,0.00447543713572023,0.000624479600333056,0.000208159866777685,0.0104079933388843,0.0173813488759367
"78","Claiborne Parish, Louisiana","est72018",0.447942799799298,0.516056196688409,0.00495484194681385,0.00445308580030105,0.000250878073256397,0.0111013547415956,0.0152408429503261
"79","Concordia Parish, Louisiana","est72018",0.571632945023503,0.395513999591253,0.00403637849989781,0.00378091150623339,0.000204373594931535,0.00975883915798079,0.0150725526262007
"80","De Soto Parish, Louisiana","est72018",0.587148272342907,0.357413617145356,0.00841959469310395,0.00346260387811634,0.000437381542498907,0.0134494824318414,0.0296690479661758
"81","East Baton Rouge Parish, Louisiana","est72018",0.44403750034017,0.465320802982611,0.00204782336559657,0.0332051270421539,0.000190495196799681,0.0131555075789875,0.0420427434936819
"82","East Carroll Parish, Louisiana","est72018",0.277248827625409,0.680119369049311,0.00284212022168538,0.00511581639903368,0,0.00980531476481455,0.0248685519397471
"83","East Feliciana Parish, Louisiana","est72018",0.537788137788138,0.424864024864025,0.00424760424760425,0.00321160321160321,5.18000518000518e-05,0.0131572131572132,0.0166796166796167
"84","Evangeline Parish, Louisiana","est72018",0.666925814071704,0.273510151601232,0.00418622731214305,0.00463475166701552,0.000119606494632659,0.0121998624525312,0.0384235864007416
"85","Franklin Parish, Louisiana","est72018",0.651170867235563,0.315141893232784,0.0024310379043461,0.00372097638420321,0.000446517166104386,0.0100714427465767,0.0170172653304227
"86","Grant Parish, Louisiana","est72018",0.765456809892358,0.152255137443288,0.00947424606351748,0.00493728315986122,0.000444800284672182,0.0152566497642558,0.052175073392047
"87","Iberia Parish, Louisiana","est72018",0.58789698481837,0.32112600611776,0.00418657757855119,0.0260639122651217,0.000493367728112093,0.0172114856007104,0.0430216658913745
"88","Iberville Parish, Louisiana","est72018",0.475016044741909,0.482595275205525,0.00253659729225879,0.00409522936340576,0.000152807065798723,0.00858775709788821,0.0270162892332141
"89","Jackson Parish, Louisiana","est72018",0.674695006917369,0.284240975977864,0.00333291409885549,0.00396176581562068,0.000125770343353037,0.0160986039491888,0.0175449628977487
"90","Jefferson Davis Parish, Louisiana","est72018",0.779621303274017,0.164207459945539,0.00677601165220695,0.00427458678994364,0.000189981635108606,0.0202013805332151,0.0247292761699702
"91","Jefferson Parish, Louisiana","est72018",0.523493782988635,0.268187378902479,0.00408246957154804,0.0411679733487539,0.000211956659470892,0.0142586931028842,0.148597745426229
"92","Lafayette Parish, Louisiana","est72018",0.653503966521406,0.263685116689046,0.00299857485316045,0.0188111144977799,0.000362465092140274,0.0141896845729914,0.0464490777734758
"93","Lafourche Parish, Louisiana","est72018",0.767823472455792,0.133720633949957,0.0280792947051929,0.00881618508892626,0.000315955766192733,0.0174489119910309,0.0437955460429088
"94","LaSalle Parish, Louisiana","est72018",0.826037406985319,0.119729168063284,0.0124689951062546,0.00268150432392572,0.000134075216196286,0.00945230274183817,0.0294965475631829
"95","Lincoln Parish, Louisiana","est72018",0.533731672175608,0.402957877786253,0.00379269429612679,0.0157428595643699,0.000444952962115434,0.0112297652343419,0.0321001779811848
"96","Livingston Parish, Louisiana","est72018",0.874074817112928,0.0654667650662406,0.00374013914464021,0.00617624510091927,0.000437066068626538,0.0116646485200656,0.0384403189865799
"97","Madison Parish, Louisiana","est72018",0.337604157333572,0.624406415195771,0.00295672430785772,0.00250873577636413,0,0.0109309201684437,0.0215930472179912
"98","Morehouse Parish, Louisiana","est72018",0.489644853925506,0.477399795259469,0.00192928577053311,0.0050003937317899,0.000590597684857075,0.0116938341601701,0.0137412394676746
"99","Natchitoches Parish, Louisiana","est72018",0.528777257559689,0.409814014847772,0.00946739439716496,0.00625986186916371,0.000284539175871078,0.0209265630254275,0.0244703691249127
"100","Orleans Parish, Louisiana","est72018",0.307514462693667,0.59115972644921,0.00223014480596206,0.0289228298286983,0.000271095584210984,0.0137312470908375,0.0561704935474136
"101","Ouachita Parish, Louisiana","est72018",0.580255704806603,0.373154232076388,0.00247936559313805,0.0101828774882667,0.000310729891568215,0.0113351675028322,0.0222819226412041
"102","Plaquemines Parish, Louisiana","est72018",0.629901751388296,0.207219137120889,0.0152926099957283,0.0427595044852627,0.000897052541648868,0.0257155061939342,0.0782144382742418
"103","Pointe Coupee Parish, Louisiana","est72018",0.602689152233364,0.353281677301732,0.00154968094804011,0.00314494074749316,4.55788514129444e-05,0.0104831358249772,0.0288058340929809
"104","Rapides Parish, Louisiana","est72018",0.611180894900507,0.317427735481993,0.00778174353946784,0.0137559167292168,0.000306367855884561,0.017600833320568,0.0319465081723626
"105","Red River Parish, Louisiana","est72018",0.566238055916008,0.393653415123275,0.00601627934410759,0.00212339270968503,0.000117966261649168,0.00766780700719594,0.0241830836380795
"106","Richland Parish, Louisiana","est72018",0.607864500792393,0.353704437400951,0.0026743264659271,0.00316957210776545,0.000148573692551506,0.0097068145800317,0.0227317749603803
"107","Sabine Parish, Louisiana","est72018",0.673477030625832,0.166652796271638,0.0818492010652463,0.00391145139813582,0.000166444740346205,0.0343292276964048,0.0396138482023968
"108","St. Bernard Parish, Louisiana","est72018",0.620684488773785,0.229126088910768,0.00556494938036429,0.0222169902185313,0.000278247469018215,0.0200338177693114,0.102095417478222
"109","St. Charles Parish, Louisiana","est72018",0.648688515289623,0.259895232511961,0.00315815352030106,0.0106469486941886,0.000397133077403128,0.0142022352918928,0.0630117816146296
"110","St. Helena Parish, Louisiana","est72018",0.441921652699279,0.519391931397388,0.00399532254921068,0.00399532254921068,0.000292340674332489,0.0115961800818554,0.0188072500487234
"111","St. James Parish, Louisiana","est72018",0.482530779103484,0.488425155678091,0.00232922945286876,0.00261444122260779,0.000190141179826021,0.00717782953843229,0.0167324238246898
"112","St. John the Baptist Parish, Louisiana","est72018",0.339732308262319,0.570419599851797,0.00263986661726565,0.0107910337161912,0.00155150055576139,0.0114857354575769,0.0633799555390886
"113","St. Landry Parish, Louisiana","est72018",0.544898748248031,0.412800251316998,0.00332270069112174,0.00433763472040984,0.000144990575612585,0.0117563191725871,0.0227393552752404
"114","St. Martin Parish, Louisiana","est72018",0.645754461871282,0.297495384271088,0.00456910538781448,0.00891441785867477,0.00024244232670036,0.013147833871058,0.0298763544133828
"115","St. Mary Parish, Louisiana","est72018",0.561718969743239,0.313657732952947,0.0179410937437216,0.0152288343311769,0.000321452967412705,0.0197291758749548,0.0714027403865472
"116","St. Tammany Parish, Louisiana","est72018",0.783844934931096,0.122528679521601,0.00459104803747225,0.0141373285137015,0.000306069869164817,0.0172096501117736,0.0573822890151911
"117","Tangipahoa Parish, Louisiana","est72018",0.631349185584966,0.300642113367769,0.00341613281804795,0.00707146968462441,0.000313955313693684,0.0134402774766963,0.0437668657542029
"118","Tensas Parish, Louisiana","est72018",0.422904527117884,0.538995965934558,0.00112057373375168,0.00201703272075303,0,0.0129986553115195,0.0219632451815329
"119","Terrebonne Parish, Louisiana","est72018",0.666738725106061,0.189558732131759,0.0572414227938858,0.0104845029318778,0.000630511344700552,0.0246710081876402,0.0506750975040758
"120","Union Parish, Louisiana","est72018",0.691894312583968,0.248499776085983,0.00331392745185849,0.00183609493954322,0.00058217644424541,0.00797133900582176,0.0459023734885804
"121","Vermilion Parish, Louisiana","est72018",0.783837539695805,0.14156777536353,0.00334280461307037,0.0205916764165135,0.000100284138392111,0.0138559251211767,0.0367039946515126
"122","Vernon Parish, Louisiana","est72018",0.70047073270569,0.138272615636512,0.013323782234957,0.0189725747032337,0.00411379451494065,0.0310274252967663,0.0938190749079001
"123","Washington Parish, Louisiana","est72018",0.65426559615302,0.301103430509639,0.00364947833927268,0.00270490747499034,0.000171740157142244,0.0136104074535228,0.0244944399124125
"124","Webster Parish, Louisiana","est72018",0.617274086293108,0.340094850250013,0.00484561059848446,0.00399505129130368,0.000257745244600237,0.0136089489148925,0.0199237074075983
"125","West Baton Rouge Parish, Louisiana","est72018",0.553070723124078,0.393763953532372,0.00196768456502819,0.00658417527528664,3.78400877890037e-05,0.0124115487947932,0.0321640746206531
"126","West Carroll Parish, Louisiana","est72018",0.784738663267164,0.156164633035877,0.00628300855946094,0.00282280094700419,0,0.0103806228373702,0.0396102713531233
"127","West Feliciana Parish, Louisiana","est72018",0.529366106080207,0.442755498059508,0.00148771021992238,0.00265200517464424,0.00019404915912031,0.00795601552393273,0.0155886157826649
"128","Winn Parish, Louisiana","est72018",0.64645535587944,0.306141219753785,0.00757039762275364,0.00240554690816471,0.000141502759303806,0.0154238007641149,0.0218621763124381
"129","Acadia Parish","2000",0.801556949331158,0.182278653136845,0.00188669624190505,0.00151275644621216,5.09917903217582e-05,0.00346744174187956,0.00924651131167882
"130","Allen Parish","2000",0.681930741716128,0.243504579222515,0.0170590778664361,0.00558154160606894,0.000117919893085964,0.00676074053692858,0.0450453991588381
"131","Ascension Parish","2000",0.76291444303814,0.202286042354415,0.00255744464306685,0.00335338404728663,0.000234867365179608,0.0040840825167343,0.0245697360351779
"132","Assumption Parish","2000",0.667009381827529,0.311827956989247,0.00287023947221865,0.0023990061260335,0,0.00372702737437347,0.0121663882105985
"133","Avoyelles Parish","2000",0.679839040023132,0.293944724223513,0.00987928001734898,0.00173489795426616,2.40958049203634e-05,0.00484325678899304,0.0097347051878268
"134","Beauregard Parish","2000",0.83555906276557,0.128384120432196,0.00637367973776861,0.00576666261988588,0.000485613694306179,0.00925701104771155,0.0141738497025616
"135","Bienville Parish","2000",0.547006919316956,0.435472608392052,0.00247571891068368,0.00152351932965149,0,0.00406271821240399,0.00945851583825303
"136","Bossier Parish","2000",0.729062452820693,0.209068491771929,0.00449901867042424,0.0129535504000805,0.000875647929142972,0.0123093956016305,0.0312314428060993
"137","Caddo Parish","2000",0.522870715847234,0.444978477196978,0.00363956373019444,0.00680128539515548,0.00024688506703726,0.0066858068960574,0.0147772658673431
"138","Calcasieu Parish","2000",0.730395520843545,0.239180636798362,0.00294108035685108,0.00652484123612518,0.00024509002973759,0.00728734355086435,0.0134254871845147
"139","Caldwell Parish","2000",0.795433011180595,0.178605268144779,0.00445328785294675,0.00142126208072769,0,0.00521129429600152,0.0148758764449498
"140","Cameron Parish","2000",0.926442548921224,0.039136979427998,0.00371299548419468,0.00451580531861515,0.000100351229302559,0.00451580531861515,0.0215755143000502
"141","Catahoula Parish","2000",0.712700596056855,0.269876203576341,0.00192572214580468,0.00128381476386978,0,0.00495185694635488,0.00926180651077487
"142","Claiborne Parish","2000",0.515014836795252,0.470563798219585,0.00142433234421365,0.000830860534124629,0.000118694362017804,0.00445103857566766,0.00759643916913947
"143","Concordia Parish","2000",0.601355026952178,0.374857821077098,0.00163196676722219,0.00232431630483161,4.94535384006726e-05,0.00494535384006726,0.0148360615202018
"144","De Soto Parish","2000",0.553219035662443,0.419592765506689,0.00435481972615638,0.00105928047392993,0.000470791321746636,0.00576719369139629,0.015536113617639
"145","East Baton Rouge Parish","2000",0.553096519972197,0.400005812559488,0.00194478552866439,0.0209106827577688,0.000276096575675892,0.00593365447724504,0.0178324481289613
"146","East Carroll Parish","2000",0.311205523101434,0.669251194901753,0.001805629314923,0.00329261816250664,0,0.00254912373871482,0.0118959107806691
"147","East Feliciana Parish","2000",0.515645493723065,0.468568484167135,0.00154581225407532,0.00229529698332396,4.68427955780401e-05,0.00454375117106989,0.0073543189057523
"148","Evangeline Parish","2000",0.698383189679455,0.284547349445102,0.00214072446622725,0.00143653878654724,8.45022815616022e-05,0.00301391470903048,0.0103937806320771
"149","Franklin Parish","2000",0.66826561324304,0.314710308502634,0.00258653122648608,0.0018811136192626,4.70278404815651e-05,0.0049849510910459,0.00752445447705041
"150","Grant Parish","2000",0.849066695191742,0.118361234422635,0.00839706904851046,0.00128362838958122,0.000267422581162753,0.0112317484088356,0.0113922019575333
"151","Iberia Parish","2000",0.646587605933649,0.307463460567436,0.0031524216329817,0.0200335712433642,0.00020470270344037,0.00753305948660562,0.0150251784325232
"152","Iberville Parish","2000",0.486989405444341,0.495122902848225,0.0017407485218644,0.00252108406614844,0.000120051622197545,0.00321138089378433,0.0102944266034395
"153","Jackson Parish","2000",0.707489615784008,0.27836188992731,0.00279075804776739,0.0021417445482866,6.49013499480789e-05,0.00305036344755971,0.00610072689511942
"154","Jefferson Parish","2000",0.65755831060636,0.227717684878987,0.00403376327935952,0.0312468434759314,0.000272284510963843,0.00798628037399595,0.0711848328744022
"155","Jefferson Davis Parish","2000",0.800871723084754,0.177176126240774,0.00362687706795622,0.0020679562229575,9.5444133367269e-05,0.00623568337999491,0.00992618987019598
"156","Lafayette Parish","2000",0.724865166058644,0.237885972013415,0.00265462535614033,0.0108550521988709,0.000262834193677261,0.00605569982232409,0.0174206503569288
"157","Lafourche Parish","2000",0.82248593236392,0.126213159507493,0.0223076494512229,0.0066967519081843,0.000189425594740654,0.00779987743049752,0.0143072037439412
"158","La Salle Parish","2000",0.856752591762398,0.121322499299524,0.0063743345474923,0.00175119080975063,7.00476323900252e-05,0.00553376295881199,0.00819557298963295
"159","Lincoln Parish","2000",0.571724348869492,0.397054325577018,0.00169399807072442,0.0129873185422205,0.000141166505893702,0.00487024445333271,0.011528597981319
